"Pais","EstabilidadPolÃ­tica","Electoral","PoliticalparticiÂ­pation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","gastosocial","Desem","HDI","POB"
"Rwanda",0.1159507,1.42,2.78,4.38,2.94,28.4996506797033,22.7136710424975,3.98678675464326,1.27779563858341,0.185022681951523,0.0773843005299568,0.564346015453339,0.631,26.73,1.143,0.536,38.2
"Senegal",-0.0886327,6.08,4.44,6.25,6.18,35.293046407578,25.8256617810862,7.4074861863013,4.44110250235867,-0.0573693849146366,-0.112239763140678,0.0484844334423542,0.4405,22.21,6.757,0.514,46.7
"Slovenia",0.9109183,9.58,6.67,6.25,8.24,35.8887037612349,18.3187331683505,4.83338291255968,4.76509673716556,1.08140444755554,1.00883948802948,0.905898690223694,0.8571,43.7,8.962,0.902,14.3
"South Africa",-0.2766732,7.42,8.33,5,7.94,32.8172313420919,18.7645465995098,1.41451262585058,-0.00313895407710163,0.367380231618881,0.156171724200249,0.0849238559603691,0.75,33.44,25.156,0.705,55.5
"Sri Lanka",-0.1831642,7,5.56,6.25,6.47,55.6488940436462,26.3859066192691,3.5781696792194,2.41409866202615,-0.113549873232841,-0.184370413422585,-0.319470077753067,0.7143,18.64,4.519,0.78,4.1
"Thailand",-0.733099,7.42,6.11,6.25,6.47,43.2983170771208,23.1158312783783,4.06625034855084,3.70759319747143,0.357056349515915,0.11610496789217,-0.407398492097855,0.7738,21.6,0.597,0.765,8.6
"Togo",-0.9817027,3.17,3.33,5,3.24,47.0845767550275,23.7758843413131,4.35741391467567,1.80187236346762,-0.917334675788879,-0.678981721401215,-0.749716758728027,0.5119,24.67,2.204,0.513,55.1
"Turkey",-1.328783,3.08,5,5,2.35,38.4169790584657,30.0791088960001,7.47086689265535,5.77447287106783,0.0483859702944756,-0.00731689296662807,-0.290970057249069,0.8929,34.61,10.236,0.806,13.5
"Uganda",-0.6914156,4.33,4.44,6.88,5.88,47.835191457529,24.0524228864223,3.89774765681456,0.0738554799874436,-0.585200130939484,-0.37422439455986,-1.16562569141388,0.5714,20.12,1.859,0.528,21.4
"Ukraine",-1.826185,7.42,6.67,6.25,6.47,43.9925787102004,15.7622519925386,2.46603562470679,2.91717540040885,-0.296582520008087,-0.258670091629028,-0.709597170352936,0.8095,41.74,9.14,0.75,2.4
"Uruguay",1.046509,10,6.11,7.5,9.71,30.4726168269865,16.4733921971761,2.59133869422379,2.2177686458628,0.695738792419434,0.509408414363861,1.24651086330414,0.8571,33.21,7.488,0.808,7.9
"Uzbekistan",-0.283422,0.08,2.22,5,0.88,38.6080927714983,25.5535202604071,4.46152609017476,2.71763017750928,-0.514649033546448,-0.993292510509491,-1.053790807724,0.8095,25.65,5.15,0.71,14.1
"Zambia",0.1419944,4.75,4.44,6.88,6.47,36.8945167456754,38.8084620473107,3.50432594764749,0.493954923967465,-0.675214529037476,-0.554269134998322,-0.640345096588135,0.3095,25.19,10.105,0.591,54.4
"Zimbabwe",-0.7070538,0,4.44,5.63,3.24,47.0642422354299,9.6658914912027,4.70403539054713,3.18639907529273,-1.20533716678619,-1.46319949626923,-1.23879551887512,0.4524,22.48,5.302,0.563,72.3
