"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"Indonesia",16.64,-0.5334369,7.92,6.11,5.63,5.59,38.1116436734931,32.1606388642645,5.06978590134916,3.84233415747524,0.182740747928619,-0.0933143347501755,-0.418996125459671,0.75,4.514,0.707,10.6
"Iraq",34.65,-2.55586,5.25,6.67,5,1.76,NA,NA,NA,NA,-1.33627045154572,-1.17996847629547,-1.33665406703949,0.3095,10.713,0.689,18.9
"Ireland",24.8,1.030591,10,8.33,10,10,31.9630196207383,31.3869696649669,8.14529615601917,6.97433032159738,1.28137493133545,1.6019104719162,1.45809876918793,0.8571,NA,NA,NA
"Israel",38.76,-0.9324778,9.17,8.89,7.5,5.88,32.2998770603603,20.7921508588522,3.53670318805928,1.54874335156077,1.32565200328827,1.28099524974823,0.805954396724701,0.7143,NA,NA,NA
"Italy",48.7,0.3111933,9.58,7.78,6.25,7.94,24.3452632304656,17.4807761497111,1.66785904106857,1.82033385192226,0.461936086416245,0.954963088035583,0.23984207212925,0.8214,NA,NA,NA
"Jamaica",29.44,0.4869154,8.75,4.44,6.25,8.24,49.2934647716335,22.1374412435623,1.0033653175016,0.497977273627015,0.495820760726929,0.167548999190331,-0.0565555803477764,0.369,13.511,0.726,19.9
"Japan",37.42,1.059693,8.75,6.67,7.5,8.82,36.0780907031458,23.7941781734077,2.16829073735609,2.33647954980609,1.58666384220123,1.32695746421814,1.47533226013184,0.9881,NA,NA,NA
"Jordan",30.9,-0.3794051,3.58,3.89,4.38,3.53,40.3140656143942,19.3022608105981,2.1157328887228,-0.262010615064241,0.0994702652096748,0.0346093736588955,0.127979531884193,0.3333,13.075,0.723,14.4
"Kazakhstan",19.54,0.0004052,0.5,4.44,4.38,3.24,19.6336289375951,21.6975502563792,4.10000000033857,2.69343213409594,0.124712504446507,0.13722650706768,-0.319982260465622,0.881,4.93,0.817,2.5
"Kenya",25.47,-1.164113,3.5,6.67,5.63,4.41,29.4335816997213,18.2820628103737,4.80569652382397,2.36450286708845,-0.383268862962723,-0.277037471532822,-0.777246236801147,0.5952,2.794,0.579,36.1
"Latvia",38.9,0.4215345,9.58,6.11,6.88,8.82,44.5133498829946,20.7260191523695,3.78731375779996,4.71118077558484,1.10502827167511,1.19268560409546,0.484939754009247,0.5833,9.873,0.854,22.5
"Lebanon",30.36,-1.644891,3.92,6.67,5,4.71,32.7953837722237,20.9820330446992,0.850699558756901,-0.640947405586658,-0.832802474498749,-0.42559215426445,-1.16021323204041,0.3333,6.357,0.73,27.4
"Lesotho",46.54,-0.2183286,9.17,6.67,5.63,6.76,31.0160901843713,27.513655654372,-1.32168515344736,-2.09599926513209,-0.832261681556702,-0.535603582859039,-0.0273043066263199,0.3452,24.394,0.518,57.1
"Liberia",32.43,-0.1924032,7.42,5.56,5.63,5.59,NA,NA,NA,NA,-1.37513327598572,-0.978944778442383,-0.87758070230484,0.2381,2.079,0.465,50.9
"Lithuania",34.9,0.752799,9.58,6.11,6.25,9.12,35.0421840975974,19.9891813378449,4.24757675412258,5.71553322530551,1.04338085651398,1.15736365318298,0.675985991954803,0.7381,9.12,0.869,22.2
"Luxembourg",42.6,1.373404,10,6.67,8.75,9.71,28.1716955939628,18.7601584399368,1.80118170327937,-0.643742843208457,1.73364567756653,1.69988226890564,2.11219620704651,0.7024,NA,NA,NA
"Madagascar",16.33,-0.5190363,7.92,6.11,5.63,5,46.5342557272241,18.1394244899989,3.93331617112426,1.18501476402582,-1.14245367050171,-0.73004561662674,-1.00936961174011,0.2976,1.785,0.521,70.7
"Malawi",29.14,-0.3250225,6.08,5,6.25,5.88,33.8065191660294,13.1920494812107,4.00003051653042,1.26339856039046,-0.749436676502228,-0.701195478439331,-0.781152665615082,0.4167,5.846,0.485,51.5
"Malaysia",22.7,0.2373901,9.17,6.67,6.25,5.88,28.6565513110129,25.0742901969018,5.74182957621825,4.31327421237684,0.998685657978058,0.673140823841095,0.247522801160812,0.8571,3.1,0.804,0.4
"Mali",20.19,-2.05126,6.42,3.89,5.63,5.59,48.1401459854015,18.2380165095135,5.41853337183656,2.30384987354203,-1.05644416809082,-0.573185980319977,-0.696643471717834,0.3214,7.729,0.427,41.1
"Malta",37.7,1.294193,9.17,6.11,8.13,8.82,33.1240473425935,20.6002265901083,6.47119280850706,3.59487193885144,0.858419954776764,0.955645382404327,0.239386558532715,0.8333,NA,NA,NA
"Mauritania",28.13,-0.6677783,3.5,5,3.13,4.41,NA,NA,NA,NA,-0.498212456703186,-0.759339690208435,-0.861584544181824,0.0952,9.758,0.527,31
